통계표,경상수지(경상수지 S.A.),단위,변환,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06,2025/07,2025/08,2025/09,2025/10,2025/11,2025/12
"2.5.1.2. 경상수지(계절조정)","경상수지","백만달러","원자료","11,095.9","8,469.3","8,857.6","9,162.2","6,674.8","9,691.9","8,671.3","8,527.8","9,091.7","7,421.1","8,136.3","9,318.7","9,875.7","8,272.6","11,224.7","7,319.8","9,493","11,012","7,585.6","6,111.1","6,415.8","4,842.8","6,764.7","9,005.7","7,178.4","7,847.7","5,546.2","6,575.7","3,885.2","5,641","6,010.9","6,710.5","7,775.5","5,952.7","6,424.1","5,683","5,735.3","4,438.9","6,280.3","5,854.2","8,534.8","6,442.1","6,684.7","9,006.1","8,392.3","6,153.6","4,489","5,455.4","6,371.4","3,640.9","4,828.1","4,067","4,743.3","3,967.8","5,155.4","5,674.8","5,315.1","5,824.5","5,479.1","4,608.5","5,547.5","4,894.4","6,048.2","-301.5","1,671.2","5,431.7","6,504","6,247.4","6,401.2","13,383.8","8,754.9","11,921.3","9,499.7","8,136.7","7,587.3","6,213.5","10,891.9","7,033.9","6,490.8","5,849.5","6,869.7","4,619.5","5,705.6","4,980.6","6,248.2","6,719.1","7,726.2","4,878.1","3,013.9","2,889.2","72.2","-4,478.7","149.8","-1,933.3","-2,537","490.8","-3,580","-1,948.3","-177.9","899.8","1,578.6","1,232","1,882.7","6,930.4","4,696.7","7,837","6,527.5","6,651.9","8,841.8","6,783.4","7,430.9","5,386.6","9,378.6","10,046.3","7,990.5","7,070.1","9,452","8,696.5","9,426.5","9,469.9","9,156.7","8,670.6","8,870.5","8,897.1","9,855.8","10,086.9","11,101.6","10,487.3","9,476.5","9,285.9","12,171.5","14,993.3"
"2.5.1.2. 경상수지(계절조정)","  상품수지","백만달러","원자료","9,606.5","9,016.4","9,232.4","10,845.4","8,257.5","12,423.2","9,922.7","9,542.2","10,567.5","9,694.5","9,477","11,689.6","10,255.3","8,880.9","12,681","9,456.5","10,146.9","12,463.5","10,243","7,692.9","8,566","7,232.7","8,825.3","10,017.8","9,955","10,422.8","8,215.7","10,230.4","7,985.4","8,669.1","9,307.8","9,671.2","10,282.5","9,344.8","10,666.5","8,841.4","9,937.4","6,500.5","9,217.1","8,856","11,132.2","9,316.3","9,650.1","11,913.5","10,600.2","8,443.7","7,147.7","7,372.4","8,726.2","6,956.5","8,104.6","5,689.2","6,037.9","5,613.7","6,279.8","5,523","6,243.2","7,298.1","7,477.1","5,862.5","6,443.5","5,563.7","6,553.9","967.2","2,204.5","5,087.6","7,049.3","7,458","8,132.6","11,904.5","9,602.9","11,097.6","9,154.2","8,228.7","8,215.6","6,439.5","6,928.5","6,768.4","6,117.4","6,172.6","7,148.9","4,822.8","5,249.6","4,412.8","5,336.4","6,359.1","6,146.8","4,082.3","2,549","2,032.7","-649.2","-3,488","-804.3","-1,514.4","-1,458.1","-257.6","-1,861","-742.1","266.4","981.3","2,012.2","2,824.8","5,189.8","7,010","6,010.5","7,223.6","7,729.1","7,986","9,553.2","8,176.3","9,325.9","6,348.7","9,631.8","10,517.8","9,289.7","8,967.3","10,059.6","9,305.8","10,273.6","9,460.2","9,016.9","10,304.3","9,165.3","10,032.3","11,561.6","11,502","11,530.3","11,485.7","11,412.2","11,640.3","14,044.3","16,378.1"
"2.5.1.2. 경상수지(계절조정)","    상품수출","백만달러","원자료","45,501.9","46,028.9","45,407.2","47,746.9","44,571","47,814.2","45,703.7","44,802.6","43,608.7","44,276.9","42,592.9","45,027.5","38,860.3","41,167","43,407.6","40,678.9","42,407.6","44,547.4","42,832.5","42,506.5","43,538","41,395.5","44,911.6","45,673.3","47,352.6","48,166.2","47,943.9","48,362.8","47,125.2","47,381.9","46,903.2","48,128.4","49,938.7","49,346.1","49,980","49,681.1","51,440.9","51,527.1","51,098.9","51,125.7","53,773.5","53,883.6","53,112.1","53,905","52,384.3","54,482.1","50,404.8","49,128.6","48,534.9","45,998.7","46,920.3","47,127.9","46,255.3","45,258.5","46,413.7","46,424.8","45,142.4","46,161.8","46,238.7","46,190.9","46,190.2","42,786.4","44,219","36,750.9","34,620","38,951.8","42,184","42,637.8","45,264.3","49,184","47,861.7","50,181.6","49,636.5","52,206.8","52,468","53,537.7","53,475.9","54,276.5","54,803.4","55,264.7","56,724.4","56,846.7","58,892.7","57,506.9","60,055","61,265","62,668.6","60,386.9","60,805.4","60,236.4","59,386.7","58,003.7","56,297","54,211.2","52,381","52,058.2","52,408.5","52,439.7","52,132.9","50,171.7","52,089.2","52,419.4","50,654.2","53,903.5","54,538.9","58,446.6","56,120.4","56,792.2","56,942.4","56,967.2","56,881.8","58,886.1","59,145.4","59,928.5","57,987.3","59,677.9","61,938.2","58,632.5","57,829.1","59,158.3","56,894","57,438.7","58,400.9","58,093.3","58,352.5","59,632.6","59,569","59,943.1","60,831.9","60,507.1","63,949.7","65,329.8"
"2.5.1.2. 경상수지(계절조정)","    상품수입(FOB)","백만달러","원자료","35,895.4","37,012.5","36,174.8","36,901.5","36,313.5","35,391","35,781","35,260.4","33,041.2","34,582.4","33,115.9","33,337.9","28,605","32,286.1","30,726.6","31,222.4","32,260.7","32,083.9","32,589.5","34,813.6","34,972","34,162.8","36,086.3","35,655.5","37,397.6","37,743.4","39,728.2","38,132.4","39,139.8","38,712.8","37,595.4","38,457.2","39,656.2","40,001.3","39,313.5","40,839.7","41,503.5","45,026.6","41,881.8","42,269.7","42,641.3","44,567.3","43,462","41,991.5","41,784.1","46,038.4","43,257.1","41,756.2","39,808.7","39,042.2","38,815.7","41,438.7","40,217.4","39,644.8","40,133.9","40,901.8","38,899.2","38,863.7","38,761.6","40,328.4","39,746.7","37,222.7","37,665.1","35,783.7","32,415.5","33,864.2","35,134.7","35,179.8","37,131.7","37,279.5","38,258.8","39,084","40,482.3","43,978.1","44,252.4","47,098.2","46,547.4","47,508.1","48,686","49,092.1","49,575.5","52,023.9","53,643.1","53,094.1","54,718.6","54,905.9","56,521.8","56,304.6","58,256.4","58,203.7","60,035.9","61,491.7","57,101.3","55,725.6","53,839.1","52,315.8","54,269.5","53,181.8","51,866.5","49,190.4","50,077","49,594.6","45,464.4","46,893.5","48,528.4","51,223","48,391.3","48,806.2","47,389.2","48,790.9","47,555.9","52,537.4","49,513.6","49,410.7","48,697.6","50,710.6","51,878.6","49,326.7","47,555.5","49,698.1","47,877.1","47,134.4","49,235.6","48,061","46,790.9","48,130.6","48,038.7","48,457.4","49,419.7","48,866.8","49,905.4","48,951.7"
"2.5.1.2. 경상수지(계절조정)","  서비스수지","백만달러","원자료","-902.4","-1,250.7","-650.3","-1,152.3","-736.2","-2,218.6","-1,407.4","-1,108.7","-1,086.5","-1,873.6","-1,272.5","-966.6","-892.8","-956.7","-929.7","-2,052.3","-1,597.7","-1,418.2","-1,485.2","-1,426.8","-2,216.1","-2,160.3","-1,725.8","-476.8","-2,915.2","-2,285.8","-3,021.3","-3,090.5","-3,187.2","-2,927.3","-3,388.4","-2,459.4","-3,102.2","-3,586.7","-3,401.1","-3,369","-3,235.2","-2,954.1","-2,512.5","-2,387.5","-2,443.9","-2,511","-2,731","-2,335.4","-2,349.1","-2,156.8","-2,211","-1,541.9","-2,829.6","-2,174.1","-2,699.3","-1,941.4","-1,761.1","-2,760.4","-1,825.5","-2,342.3","-2,124.6","-2,104","-2,293","-1,990","-1,633.3","-1,497.9","-1,468.6","-1,760.9","-1,058.2","-1,065.9","-992.7","-1,197.6","-1,857","-766.2","-731.6","-87.1","-624.1","-643.9","-1,303.5","-1,084.4","-1,417.9","-1,292.1","-676.8","-212.8","-180.4","-507.2","-518.2","-533","-196.5","-305.9","293.2","-540.4","-869.9","-848.4","-769","-2,058.1","-683.7","-1,122.2","-1,238.6","-2,411.3","-3,256.7","-3,021.1","-2,071.4","-2,072.6","-1,644.6","-2,657.5","-3,124","-2,003.8","-3,461.2","-1,846.7","-2,599.5","-2,983.5","-2,345.6","-2,533.2","-3,355","-2,454.1","-2,158.5","-2,229.5","-2,615.1","-2,683.3","-2,275.1","-2,348.2","-2,595.2","-1,835.6","-1,670.2","-3,365.3","-2,584.8","-3,015","-3,164.7","-2,637.4","-1,991.4","-2,911.4","-3,248.7","-3,717.8","-3,236.3","-2,976.6"
"2.5.1.2. 경상수지(계절조정)","    서비스수입","백만달러","원자료","8,727.1","8,499","8,710.5","8,409.1","8,509.7","7,250.2","7,741","8,159.3","7,880.7","8,092.8","7,904.3","7,614.9","8,157.4","8,062.6","8,151.5","7,331","7,760.5","8,014.1","8,103.5","8,081.1","7,658","7,433.3","7,773.6","8,282.5","7,074.5","7,834.1","7,242.6","7,115.9","7,128","7,429.3","7,383.9","7,609.1","7,744.9","7,689.2","7,592.3","7,857.5","8,194","8,251.4","8,422.2","8,613.3","8,428.1","8,592.2","8,342.9","8,806.7","8,884.1","9,016.7","8,648","9,477.9","8,159.9","8,395.4","8,723.8","8,751.9","9,151.7","8,839.4","8,882.7","8,430","8,716.2","8,352.6","8,768.5","8,666.9","8,873.9","8,642.2","7,431.3","6,374.6","6,923.4","6,848.2","7,072.5","7,016.4","6,967.8","7,805.6","8,283.9","8,992.8","8,835.3","9,127.9","8,972.1","9,706.7","9,648.9","9,502.5","10,128.5","10,608.7","10,668.7","10,941.6","10,972.7","11,060.5","11,043.4","11,273.3","11,424.8","11,424.5","11,400.6","11,411.8","11,519.4","11,335.2","10,690.1","10,564.4","10,388.7","10,205.2","9,598.9","10,588.7","10,586.5","10,302.3","11,140.6","10,702.6","10,376","10,388.9","9,769.4","11,635","11,141.5","10,811.1","11,308.1","11,324.6","11,214.4","11,397.1","11,638.1","11,876.4","11,808.2","12,301.3","12,306.3","12,413.1","12,098.5","12,347.9","12,350.3","11,831.3","12,244.7","13,029.1","12,091.4","12,375.5","12,874.8","12,627.8","12,756","12,600","12,656.4","12,706.1"
"2.5.1.2. 경상수지(계절조정)","    서비스지급","백만달러","원자료","9,629.5","9,749.7","9,360.8","9,561.4","9,245.9","9,468.8","9,148.4","9,268","8,967.2","9,966.4","9,176.8","8,581.5","9,050.2","9,019.3","9,081.2","9,383.3","9,358.2","9,432.3","9,588.7","9,507.9","9,874.1","9,593.6","9,499.4","8,759.3","9,989.7","10,119.9","10,263.9","10,206.4","10,315.2","10,356.6","10,772.3","10,068.5","10,847.1","11,275.9","10,993.4","11,226.5","11,429.2","11,205.5","10,934.7","11,000.8","10,872","11,103.2","11,073.9","11,142.1","11,233.2","11,173.5","10,859","11,019.8","10,989.5","10,569.5","11,423.1","10,693.3","10,912.8","11,599.8","10,708.2","10,772.3","10,840.8","10,456.6","11,061.5","10,656.9","10,507.2","10,140.1","8,899.9","8,135.5","7,981.6","7,914.1","8,065.2","8,214","8,824.8","8,571.8","9,015.5","9,079.9","9,459.4","9,771.8","10,275.6","10,791.1","11,066.8","10,794.6","10,805.3","10,821.5","10,849.1","11,448.8","11,490.9","11,593.5","11,239.9","11,579.2","11,131.6","11,964.9","12,270.5","12,260.2","12,288.4","13,393.3","11,373.8","11,686.6","11,627.3","12,616.5","12,855.6","13,609.8","12,657.9","12,374.9","12,785.2","13,360.1","13,500","12,392.7","13,230.6","13,481.7","13,741","13,794.6","13,653.7","13,857.8","14,569.4","13,851.2","13,796.6","14,105.9","14,423.3","14,984.6","14,581.4","14,761.3","14,693.7","14,183.5","14,020.5","15,196.6","14,829.5","16,044.1","15,256.1","15,012.9","14,866.2","15,539.2","16,004.7","16,317.8","15,892.7","15,682.7"
"2.5.1.2. 경상수지(계절조정)","    운송수지","백만달러","원자료","499.7","815.9","265.7","537.9","565.7","184.1","232.5","287.3","383.3","341.9","394.1","142.8","37.7","49.5","82.9","-113.3","-120.2","-102","-234.1","19.6","-273.9","-186","-286.4","-202.4","-197.5","-468.2","-526.7","-386.6","-518","-445.9","-378.1","-356.8","-688.2","-467.8","-477.3","-507.4","-293.6","-397.5","-277.9","-382","-294.7","-228","-161.4","-203.5","-21.5","-207.8","-27.7","-12.1","-203.5","-131.5","-99.9","-74.3","-149.4","-70.4","-240.1","-98.5","-134.6","-29.6","-239.8","-262.8","-158.2","-165","-145.7","15.9","64.3","-57","11.3","210.5","157.6","293.1","389.1","463.2","696.1","765.6","621.7","624.1","948","916.3","1,126.8","970.3","1,539.7","1,760.3","1,583.7","1,296","1,744.3","1,694.8","1,531.3","1,464","1,303.1","1,194.4","1,186.5","808.3","690.4","938.8","314.8","217.1","147.4","-128","294.5","98.3","-88.6","68.1","162.6","60.4","-82.4","-80.7","-43.4","-120.5","47.9","417.5","103.9","270.2","221.4","482.5","422.2","698","574.9","223.6","169.9","415.9","457.5","354.5","225.9","20.2","319.1","84.1","271.2","64.2","-196.9","-28.9","-35.1","-0.8"
